Customer_ID,PurchasesFromCatalog,PurchasesFromStore,PurchasesFromWeb
807,1,3,1
808,6,6,7
809,0,2,1
810,0,3,2
811,0,2,1
812,11,5,11
813,0,1,0
814,10,5,5
815,4,12,6
816,5,10,4
817,1,7,8
818,1,3,2
819,0,3,1
820,6,11,3
821,1,3,2
822,0,3,1
823,6,12,5
824,1,2,1
825,3,5,3
826,0,4,3
827,0,4,2
828,1,3,2
829,3,3,7
830,1,6,3
831,0,3,3
832,4,12,5
833,5,12,5
834,4,7,4
835,3,12,6
836,4,8,9
837,1,3,1
838,5,12,7
839,2,6,7
840,10,12,5
841,0,3,2
842,2,5,3
843,3,6,8
844,1,5,1
845,0,3,2
846,1,6,6
847,0,3,1
848,1,4,2
849,1,3,1
850,8,9,7
851,2,10,5
852,1,6,11
853,2,5,7
854,10,6,2
855,0,4,2
856,7,9,3
857,7,8,6
858,11,5,2
859,5,11,9
860,7,10,3
861,1,6,3
862,7,9,2
863,0,3,1
864,0,3,1
865,1,3,1
866,5,3,3
867,2,8,3
868,2,2,2
869,7,9,9
870,1,7,3
871,2,13,3
872,4,10,5
873,5,7,4
874,1,6,8
875,9,9,6
876,7,13,4
877,0,4,3
878,7,12,5
879,1,4,3
880,10,5,3
881,5,4,10
882,0,4,3
883,3,5,10
884,6,8,9
885,6,12,7
886,2,8,2
887,5,13,6
888,11,9,3
889,1,8,8
890,1,2,4
891,1,5,7
892,8,4,4
893,0,3,1
894,1,4,1
895,1,4,2
896,1,4,1
897,2,9,6
898,4,11,8
899,0,4,2
900,6,11,7
901,1,4,3
902,6,7,6
903,2,6,8
904,3,11,6
905,3,12,10
906,8,5,4
907,3,5,4
908,0,3,1
909,0,3,1
910,0,2,1
911,0,2,1
912,2,9,4
913,10,5,5
914,2,2,2
915,5,13,8
916,0,2,1
917,0,2,3
918,7,10,7
919,0,3,1
920,1,3,4
921,1,8,5
922,0,4,3
923,0,3,1
924,0,3,2
925,5,13,11
926,2,12,5
927,0,3,3
928,0,3,1
929,1,6,4
930,4,9,2
931,4,12,10
932,7,9,7
933,2,5,4
934,1,4,2
935,11,4,2
936,1,5,5
937,6,9,4
938,1,4,1
939,1,8,11
940,1,2,3
941,5,13,7
942,5,4,4
943,0,3,1
944,0,3,1
945,2,3,2
946,1,4,2
947,0,3,0
948,9,11,5
949,5,3,4
950,2,5,4
951,6,7,10
952,1,2,3
953,4,10,4
954,0,2,2
955,1,4,4
956,7,11,2
957,0,2,2
958,0,3,1
959,6,11,6
960,6,4,6
961,0,3,1
962,4,13,6
963,1,7,7
964,0,3,3
965,5,5,5
966,4,5,5
967,4,8,4
968,7,6,5
969,6,5,7
970,1,3,2
971,10,11,4
972,4,8,9
973,0,3,1
974,3,12,4
975,9,13,4
976,0,3,2
977,0,3,2
978,3,12,6
979,5,7,3
980,0,3,1
981,2,6,6
982,0,4,4
983,0,2,1
984,0,2,1
985,3,5,4
986,4,9,7
987,8,5,8
988,4,6,9
989,2,7,8
990,7,5,10
991,1,3,2
992,0,3,1
993,0,3,1
994,1,3,1
995,2,8,10
996,1,3,2
997,0,4,1
998,0,3,2
999,2,4,4
1000,0,3,1
1001,0,3,1
1002,0,4,1
1003,5,3,8
1004,9,5,6
1005,1,4,2
1006,2,4,3
1007,1,3,3
1008,1,2,1
1009,1,5,5
1010,0,4,3
1011,3,13,7
1012,1,2,2
1013,6,5,4
1014,4,9,6
1015,0,3,1
1016,0,4,2
1017,0,4,2
1018,1,4,3
1019,3,6,5
1020,0,3,0
1021,6,7,3
1022,6,7,3
1023,3,4,6
1024,0,3,1
1025,0,3,3
1026,4,10,3
1027,1,6,7
1028,1,2,3
1029,28,0,0
1030,8,5,5
1031,2,5,6
1032,0,3,1
1033,1,4,1
1034,7,13,9
1035,6,7,10
1036,0,2,1
1037,1,4,4
1038,2,8,9
1039,2,6,5
1040,7,12,4
1041,0,3,2
1042,1,4,2
1043,6,12,9
1044,1,4,4
1045,1,5,6
1046,0,2,1
1047,2,6,5
1048,1,8,7
1049,9,4,6
1050,10,4,8
1051,0,3,2
1052,2,3,3
1053,2,11,7
1054,8,5,7
1055,5,5,3
1056,6,6,7
1057,2,5,4
1058,6,4,4
1059,2,10,7
1060,5,6,7
1061,0,2,1
1062,0,3,2
1063,2,10,9
1064,2,9,9
1065,7,12,8
1066,0,3,1
1067,1,5,6
1068,1,2,1
1069,2,9,4
1070,3,10,10
1071,4,8,5
1072,1,6,3
1073,0,3,4
1074,1,6,3
1075,1,7,5
1076,0,3,2
1077,10,4,9
1078,5,7,4
1079,0,3,1
1080,9,11,6
1081,0,3,2
1082,7,12,7
1083,0,3,1
1084,1,4,2
1085,11,6,5
1086,10,6,7
1087,1,5,1
1088,0,4,3
1089,0,3,1
1090,0,4,2
1091,2,2,1
1092,2,6,5
1093,0,3,1
1094,0,3,2
1095,4,13,10
1096,2,5,6
1097,2,9,9
1098,2,4,3
1099,0,3,2
1100,1,7,7
1101,5,13,4
1102,0,4,2
1103,0,4,1
1104,0,2,1
1105,1,3,3
1106,6,10,5
1107,5,5,5
1108,5,13,3
1109,0,4,2
1110,3,6,6
1111,3,8,10
1112,0,2,1
1113,3,10,7
1114,6,7,5
1115,3,8,6
1116,1,4,4
1117,0,3,1
1118,1,6,6
1119,4,10,4
1120,4,7,7
1121,2,5,3
1122,4,6,4
1123,0,0,1
1124,0,2,1
1125,4,8,3
1126,1,5,4
1127,0,3,2
1128,5,8,7
1129,1,3,3
1130,1,5,4
1131,0,4,5
1132,3,8,4
1133,1,4,6
1134,1,5,3
1135,0,3,1
1136,1,6,3
1137,1,3,2
1138,0,3,2
1139,1,4,2
1140,0,4,1
1141,2,11,10
1142,1,4,5
1143,2,5,6
1144,8,10,5
1145,2,2,1
1146,6,7,5
1147,8,11,7
1148,3,13,6
1149,5,8,5
1150,3,4,11
1151,8,6,5
1152,5,12,6
1153,1,6,8
1154,1,3,2
1155,1,3,1
1156,0,2,1
1157,2,8,4
1158,1,5,6
1159,3,5,5
1160,1,2,0
1161,1,2,1
1162,0,4,4
1163,7,11,8
1164,0,4,2
1165,3,8,3
1166,0,3,3
1167,6,9,6
1168,0,3,2
1169,7,12,6
1170,1,3,2
1171,0,3,1
1172,0,3,2
1173,1,2,1
1174,1,7,8
1175,0,4,5
1176,5,10,9
1177,1,1,23
1178,5,8,3
1179,11,8,3
1180,7,11,9
1181,2,8,11
1182,1,7,4
1183,2,7,7
1184,10,13,3
1185,2,10,3
1186,10,8,3
1187,0,4,2
1188,0,3,2
1189,10,6,8
1190,3,5,6
1191,1,2,1
1192,1,4,3
1193,3,10,4
1194,6,5,11
1195,8,4,6
1196,5,12,5
1197,0,4,2
1198,3,13,10
1199,6,10,6
1200,8,6,2
1201,0,4,2
1202,0,3,1
1203,9,7,6
1204,0,3,1
1205,4,6,8
1206,1,2,1
1207,0,4,2
1208,1,7,7
1209,0,3,2
1210,2,4,5
1211,3,8,4
1212,2,2,2
1213,0,3,1
1214,0,3,3
1215,2,11,5
1216,1,3,2
1217,0,3,3
1218,1,6,4
1219,4,10,6
1220,5,7,7
1221,6,13,4
1222,7,9,4
1223,6,5,5
1224,0,3,1
1225,8,7,1
1226,0,3,2
1227,0,3,2
1228,5,8,11
1229,5,6,4
1230,4,12,6
1231,0,3,2
1232,6,11,5
1233,1,4,2
1234,0,4,2
1235,2,2,3
1236,2,5,6
1237,1,3,2
1238,1,4,1
1239,0,3,2
1240,0,2,1
1241,3,8,7
1242,6,9,4
1243,0,2,1
1244,0,3,2
1245,6,4,3
1246,4,9,11
1247,2,12,5
1248,0,3,2
1249,1,7,9
1250,4,6,9
1251,2,10,5
1252,0,3,3
1253,4,8,8
1254,3,8,3
1255,0,3,1
1256,0,3,2
1257,4,7,3
1258,1,4,2
1259,0,3,1
1260,4,9,3
1261,2,5,7
1262,2,12,11
1263,1,4,3
1264,0,3,3
1265,0,4,3
1266,0,3,0
1267,0,3,1
1268,1,3,3
1269,3,13,8
1270,0,4,2
1271,2,11,6
1272,3,4,7
1273,3,5,6
1274,3,7,10
1275,0,3,1
1276,5,11,4
1277,0,3,2
1278,0,2,1
1279,3,6,5
1280,0,3,1
1281,1,2,2
1282,2,6,3
1283,6,8,7
1284,1,5,5
1285,0,2,1
1286,6,11,3
1287,0,3,3
1288,0,3,4
1289,0,0,0
1290,0,3,3
1291,0,3,1
1292,1,7,3
1293,2,8,4
1294,3,5,7
1295,1,6,4
1296,0,3,2
1297,1,8,8
1298,4,6,10
1299,4,10,6
1300,10,4,3
1301,3,12,6
1302,1,3,2
1303,1,5,5
1304,3,4,8
1305,10,5,7
1306,2,3,3
1307,1,2,2
1308,11,11,9
1309,0,3,2
1310,1,2,1
1311,0,2,1
1312,5,10,2
1313,1,5,4
1314,10,5,6
1315,5,13,10
1316,10,9,4
1317,0,3,2
1318,3,6,9
1319,3,12,7
1320,10,10,2
1321,2,8,3
1322,1,2,3
1323,3,12,5
1324,1,2,3
1325,0,4,3
1326,1,5,3
1327,5,13,2
1328,1,4,6
1329,9,12,11
1330,0,3,2
1331,2,8,4
1332,1,2,2
1333,10,8,3
1334,5,11,8
1335,5,4,8
1336,6,12,9
1337,0,3,0
1338,5,10,10
1339,5,10,3
1340,2,5,5
1341,5,6,9
1342,3,6,2
1343,1,4,2
1344,0,2,1
1345,4,13,6
1346,1,2,5
1347,7,10,4
1348,2,10,8
1349,0,3,2
1350,1,2,1
1351,4,10,2
1352,0,3,0
1353,8,5,4
1354,1,3,1
1355,3,6,5
1356,0,4,2
1357,4,6,7
1358,2,9,7
1359,1,3,3
1360,0,2,1
1361,3,13,2
1362,7,10,4
1363,1,4,2
1364,6,4,4
1365,0,2,1
1366,0,2,2
1367,5,12,3
1368,1,3,3
1369,1,7,8
1370,0,3,3
1371,5,11,6
1372,0,3,1
1373,1,3,1
1374,1,4,1
1375,6,12,6
1376,7,5,4
1377,1,3,3
1378,4,6,3
1379,0,3,2
1380,1,6,4
1381,2,4,8
1382,1,6,10
1383,4,6,11
1384,1,7,7
1385,1,3,2
1386,8,12,5
1387,2,9,7
1388,1,4,5
1389,1,6,4
1390,0,3,1
1391,1,4,3
1392,0,3,2
1393,1,7,5
1394,1,5,3
1395,7,8,3
1396,4,5,7
1397,0,4,1
1398,10,12,2
1399,0,3,1
1400,4,10,6
1401,8,4,3
1402,0,3,3
1403,2,4,10
1404,4,10,5
1405,1,4,2
1406,3,13,5
1407,1,4,6
1408,1,5,2
1409,8,9,5
1410,1,2,1
1411,1,4,3
1412,1,3,2
1413,0,4,3
1414,1,4,4
1415,1,8,2
1416,1,2,2
1417,0,3,2
1418,0,3,1
1419,3,5,6
1420,1,6,5
1421,1,5,2
1422,2,2,2
1423,11,5,5
1424,0,4,2
1425,0,3,2
1426,7,10,5
1427,3,12,5
1428,1,2,1
1429,1,3,1
1430,3,12,5
1431,1,4,4
1432,8,5,11
1433,2,10,6
1434,3,5,1
1435,4,7,4
1436,2,10,7
1437,1,2,2
1438,1,4,9
1439,0,4,3
1440,1,4,3
1441,0,3,0
1442,0,3,1
1443,4,7,10
1444,1,5,7
1445,2,11,5
1446,6,8,4
1447,3,5,3
1448,7,7,8
1449,0,3,3
1450,3,3,5
1451,9,13,2
1452,7,11,3
1453,3,6,8
1454,10,6,6
1455,1,7,4
1456,8,13,4
1457,4,13,6
1458,1,3,2
1459,7,4,4
1460,0,3,0
1461,1,2,3
1462,4,8,10
1463,2,10,11
1464,1,6,3
1465,0,3,3
1466,2,10,3
1467,1,3,1
1468,0,3,1
1469,2,5,3
1470,9,13,3
1471,3,4,4
1472,5,11,11
1473,4,9,3
1474,1,6,8
1475,0,3,0
1476,2,2,2
1477,6,5,5
1478,0,4,2
1479,0,3,2
1480,4,5,5
1481,4,7,3
1482,1,4,2
1483,2,10,3
1484,3,5,3
1485,1,3,2
1486,0,3,0
1487,1,2,1
1488,0,3,2
1489,4,6,6
1490,3,6,4
1491,1,5,5
1492,2,8,9
1493,0,3,1
1494,1,4,2
1495,2,5,4
1496,1,2,1
1497,0,3,2
1498,2,12,6
1499,1,3,4
1500,1,3,4
1501,0,3,1
1502,6,7,5
1503,1,5,6
1504,1,3,4
1505,0,4,3
1506,4,9,4
1507,0,3,1
1508,1,8,4
1509,1,4,3
1510,2,3,2
1511,4,3,4
1512,0,3,2
1513,3,7,7
1514,0,2,1
1515,5,10,6
1516,0,2,1
1517,2,5,8
1518,0,4,3
1519,4,7,10
1520,6,7,5
1521,6,8,5
1522,1,2,1
1523,2,2,6
1524,1,2,0
1525,3,6,7
1526,2,6,8
1527,1,5,4
1528,6,12,3
1529,1,2,1
1530,5,8,7
1531,2,5,4
1532,0,4,2
1533,0,3,2
1534,0,3,2
1535,0,4,2
1536,0,3,0
1537,3,4,6
1538,0,3,1
1539,1,2,3
1540,0,2,1
1541,1,2,1
1542,0,3,1
1543,0,4,9
1544,4,10,8
1545,0,3,1
1546,0,3,4
1547,2,6,6
1548,5,13,6
1549,10,7,3
1550,0,4,2
1551,4,10,2
1552,0,3,1
1553,4,7,6
1554,1,7,2
1555,0,2,1
1556,2,8,10
1557,7,7,2
1558,1,3,3
1559,6,5,8
1560,6,11,7
1561,0,3,2
1562,2,10,4
1563,3,10,4
1564,0,3,3
1565,0,3,1
1566,5,12,4
1567,0,3,1
1568,8,11,6
1569,0,2,1
1570,0,3,2
1571,3,8,2
1572,7,10,5
1573,1,5,4
1574,1,3,2
1575,6,4,5
1576,8,8,11
1577,0,3,2
1578,1,4,3
1579,4,10,7
1580,0,3,2
1581,5,10,2
1582,1,2,1
1583,0,2,1
1584,5,9,3
1585,1,6,5
1586,1,3,4
1587,2,9,4
1588,1,7,6
1589,1,7,3
1590,1,4,3
1591,2,4,7
1592,0,3,2
1593,2,5,9
1594,0,4,3
1595,4,11,8
1596,2,7,8
1597,1,5,6
1598,1,4,3
1599,1,5,5
1600,3,7,7
1601,11,5,3
1602,1,6,4
1603,4,9,5
1604,0,3,0
1605,2,12,11
1606,7,7,6
1607,5,10,8
1608,4,10,11
1609,6,6,9
1610,0,4,2
1611,2,12,5
1612,1,4,4
1613,5,10,6
1614,0,3,1
1615,1,2,1
1616,3,5,6
1617,0,3,2
1618,5,11,5
1619,2,7,6
1620,1,2,3
1621,0,3,0
1622,7,10,10
1623,7,10,5
1624,0,3,3
1625,8,12,2
1626,11,5,5
1627,1,4,4
1628,1,2,1
1629,4,3,7
1630,1,8,3
1631,3,7,3
1632,2,9,4
1633,1,2,1
1634,0,4,2
1635,9,6,5
1636,8,10,7
1637,4,12,4
1638,2,12,9
1639,6,5,4
1640,0,3,2
1641,3,6,4
1642,7,12,5
1643,3,13,6
1644,0,2,1
1645,1,6,5
1646,4,6,6
1647,0,3,2
1648,6,5,8
1649,10,5,8
1650,1,4,2
1651,2,8,6
1652,3,9,6
1653,1,6,6
1654,3,12,8
1655,6,9,10
1656,0,3,1
1657,8,9,4
